City,Date,AQI
Agra,2021-01-01,384.0
Agra,2021-01-02,356.0
Agra,2021-01-03,334.0
Agra,2021-01-04,114.0
Agra,2021-01-05,154.0
Agra,2021-01-06,281.0
Agra,2021-01-07,258.0
Agra,2021-01-08,223.0
Agra,2021-01-09,
Agra,2021-01-10,259.0
Agra,2021-01-11,216.0
Agra,2021-01-12,213.0
Agra,2021-01-13,289.0
Agra,2021-01-14,378.0
Agra,2021-01-15,337.0
Agra,2021-01-16,365.0
Agra,2021-01-17,327.0
Agra,2021-01-18,319.0
Agra,2021-01-19,351.0
Agra,2021-01-20,281.0
Agra,2021-01-21,177.0
Agra,2021-01-22,318.0
Agra,2021-01-23,270.0
Agra,2021-01-24,292.0
Agra,2021-01-25,308.0
Agra,2021-01-26,319.0
Agra,2021-01-27,319.0
Agra,2021-01-28,320.0
Agra,2021-01-29,312.0
Agra,2021-01-30,212.0
Agra,2021-01-31,277.0
Agra,2021-02-01,244.0
Agra,2021-02-02,285.0
Agra,2021-02-03,233.0
Agra,2021-02-04,142.0
Agra,2021-02-05,82.0
Agra,2021-02-06,119.0
Agra,2021-02-07,104.0
Agra,2021-02-08,213.0
Agra,2021-02-09,260.0
Agra,2021-02-10,229.0
Agra,2021-02-11,254.0
Agra,2021-02-12,291.0
Agra,2021-02-13,323.0
Agra,2021-02-14,296.0
Agra,2021-02-15,254.0
Agra,2021-02-16,227.0
Agra,2021-02-17,148.0
Agra,2021-02-18,254.0
Agra,2021-02-19,253.0
Agra,2021-02-20,
Agra,2021-02-21,221.0
Agra,2021-02-22,173.0
Agra,2021-02-23,180.0
Agra,2021-02-24,204.0
Agra,2021-02-25,208.0
Agra,2021-02-26,154.0
Agra,2021-02-27,126.0
Agra,2021-02-28,234.0
Agra,2021-03-01,206.0
Agra,2021-03-02,101.0
Agra,2021-03-03,118.0
Agra,2021-03-04,192.0
Agra,2021-03-05,230.0
Agra,2021-03-06,127.0
Agra,2021-03-07,217.0
Agra,2021-03-08,161.0
Agra,2021-03-09,257.0
Agra,2021-03-10,168.0
Agra,2021-03-11,221.0
Agra,2021-03-12,201.0
Agra,2021-03-13,65.0
Agra,2021-03-14,178.0
Agra,2021-03-15,207.0
Agra,2021-03-16,273.0
Agra,2021-03-17,327.0
Agra,2021-03-18,321.0
Agra,2021-03-19,238.0
Agra,2021-03-20,155.0
Agra,2021-03-21,220.0
Agra,2021-03-22,195.0
Agra,2021-03-23,116.0
Agra,2021-03-24,106.0
Agra,2021-03-25,
Agra,2021-03-26,81.0
Agra,2021-03-27,162.0
Agra,2021-03-28,208.0
Agra,2021-03-29,236.0
Agra,2021-03-30,156.0
Agra,2021-03-31,254.0
Agra,2021-04-01,
Agra,2021-04-02,151.0
Agra,2021-04-03,
Agra,2021-04-04,188.0
Agra,2021-04-05,274.0
Agra,2021-04-06,248.0
Agra,2021-04-07,
Agra,2021-04-08,
Agra,2021-04-09,
Agra,2021-04-10,
Agra,2021-04-11,209.0
Agra,2021-04-12,207.0
Agra,2021-04-13,240.0
Agra,2021-04-14,209.0
Agra,2021-04-15,165.0
Agra,2021-04-16,177.0
Agra,2021-04-17,
Agra,2021-04-18,138.0
Agra,2021-04-19,
Agra,2021-04-20,
Agra,2021-04-21,244.0
Agra,2021-04-22,141.0
Agra,2021-04-23,209.0
Agra,2021-04-24,134.0
Agra,2021-04-25,146.0
Agra,2021-04-26,161.0
Agra,2021-04-27,153.0
Agra,2021-04-28,210.0
Agra,2021-04-29,221.0
Agra,2021-04-30,170.0
Agra,2021-05-01,
Agra,2021-05-02,
Agra,2021-05-03,
Agra,2021-05-04,
Agra,2021-05-05,
Agra,2021-05-06,
Agra,2021-05-07,66.0
Agra,2021-05-08,68.0
Agra,2021-05-09,94.0
Agra,2021-05-10,77.0
Agra,2021-05-11,51.0
Agra,2021-05-12,59.0
Agra,2021-05-13,58.0
Agra,2021-05-14,
Agra,2021-05-15,58.0
Agra,2021-05-16,106.0
Agra,2021-05-17,
Agra,2021-05-18,
Agra,2021-05-19,57.0
Agra,2021-05-20,
Agra,2021-05-21,91.0
Agra,2021-05-22,44.0
Agra,2021-05-23,254.0
Agra,2021-05-24,214.0
Agra,2021-05-25,97.0
Agra,2021-05-26,114.0
Agra,2021-05-27,123.0
Agra,2021-05-28,55.0
Agra,2021-05-29,33.0
Agra,2021-05-30,34.0
Agra,2021-05-31,82.0
Agra,2021-06-01,116.0
Agra,2021-06-02,71.0
Agra,2021-06-03,61.0
Agra,2021-06-04,81.0
Agra,2021-06-05,102.0
Agra,2021-06-06,66.0
Agra,2021-06-07,100.0
Agra,2021-06-08,112.0
Agra,2021-06-09,145.0
Agra,2021-06-10,180.0
Agra,2021-06-11,62.0
Agra,2021-06-12,135.0
Agra,2021-06-13,62.0
Agra,2021-06-14,47.0
Agra,2021-06-15,55.0
Agra,2021-06-16,59.0
Agra,2021-06-17,107.0
Agra,2021-06-18,53.0
Agra,2021-06-19,40.0
Agra,2021-06-20,53.0
Agra,2021-06-21,55.0
Agra,2021-06-22,82.0
Agra,2021-06-23,138.0
Agra,2021-06-24,104.0
Agra,2021-06-25,95.0
Agra,2021-06-26,88.0
Agra,2021-06-27,100.0
Agra,2021-06-28,104.0
Agra,2021-06-29,113.0
Agra,2021-06-30,187.0
Agra,2021-07-01,110.0
Agra,2021-07-02,116.0
Agra,2021-07-03,65.0
Agra,2021-07-04,93.0
Agra,2021-07-05,101.0
Agra,2021-07-06,146.0
Agra,2021-07-07,141.0
Agra,2021-07-08,145.0
Agra,2021-07-09,120.0
Agra,2021-07-10,88.0
Agra,2021-07-11,92.0
Agra,2021-07-12,64.0
Agra,2021-07-13,59.0
Agra,2021-07-14,62.0
Agra,2021-07-15,67.0
Agra,2021-07-16,70.0
Agra,2021-07-17,86.0
Agra,2021-07-18,43.0
Agra,2021-07-19,22.0
Agra,2021-07-20,33.0
Agra,2021-07-21,32.0
Agra,2021-07-22,40.0
Agra,2021-07-23,57.0
Agra,2021-07-24,44.0
Agra,2021-07-25,32.0
Agra,2021-07-26,67.0
Agra,2021-07-27,57.0
Agra,2021-07-28,31.0
Agra,2021-07-29,24.0
Agra,2021-07-30,30.0
Agra,2021-07-31,20.0
Agra,2021-08-01,21.0
Agra,2021-08-02,28.0
Agra,2021-08-03,33.0
Agra,2021-08-04,43.0
Agra,2021-08-05,42.0
Agra,2021-08-06,72.0
Agra,2021-08-07,74.0
Agra,2021-08-08,45.0
Agra,2021-08-09,38.0
Agra,2021-08-10,38.0
Agra,2021-08-11,81.0
Agra,2021-08-12,74.0
Agra,2021-08-13,79.0
Agra,2021-08-14,85.0
Agra,2021-08-15,82.0
Agra,2021-08-16,89.0
Agra,2021-08-17,122.0
Agra,2021-08-18,116.0
Agra,2021-08-19,120.0
Agra,2021-08-20,78.0
Agra,2021-08-21,38.0
Agra,2021-08-22,44.0
Agra,2021-08-23,44.0
Agra,2021-08-24,57.0
Agra,2021-08-25,71.0
Agra,2021-08-26,81.0
Agra,2021-08-27,98.0
Agra,2021-08-28,118.0
Agra,2021-08-29,92.0
Agra,2021-08-30,50.0
Agra,2021-08-31,66.0
Agra,2021-09-01,43.0
Agra,2021-09-02,42.0
Agra,2021-09-03,42.0
Agra,2021-09-04,46.0
Agra,2021-09-05,52.0
Agra,2021-09-06,56.0
Agra,2021-09-07,65.0
Agra,2021-09-08,44.0
Agra,2021-09-09,53.0
Agra,2021-09-10,60.0
Agra,2021-09-11,38.0
Agra,2021-09-12,48.0
Agra,2021-09-13,49.0
Agra,2021-09-14,64.0
Agra,2021-09-15,45.0
Agra,2021-09-16,42.0
Agra,2021-09-17,33.0
Agra,2021-09-18,32.0
Agra,2021-09-19,39.0
Agra,2021-09-20,43.0
Agra,2021-09-21,57.0
Agra,2021-09-22,65.0
Agra,2021-09-23,46.0
Agra,2021-09-24,68.0
Agra,2021-09-25,64.0
Agra,2021-09-26,53.0
Agra,2021-09-27,51.0
Agra,2021-09-28,54.0
Agra,2021-09-29,53.0
Agra,2021-09-30,53.0
Agra,2021-10-01,58.0
Agra,2021-10-02,77.0
Agra,2021-10-03,53.0
Agra,2021-10-04,54.0
Agra,2021-10-05,76.0
Agra,2021-10-06,99.0
Agra,2021-10-07,115.0
Agra,2021-10-08,160.0
Agra,2021-10-09,160.0
Agra,2021-10-10,177.0
Agra,2021-10-11,143.0
Agra,2021-10-12,154.0
Agra,2021-10-13,149.0
Agra,2021-10-14,186.0
Agra,2021-10-15,214.0
Agra,2021-10-16,274.0
Agra,2021-10-17,178.0
Agra,2021-10-18,28.0
Agra,2021-10-19,53.0
Agra,2021-10-20,119.0
Agra,2021-10-21,199.0
Agra,2021-10-22,131.0
Agra,2021-10-23,109.0
Agra,2021-10-24,147.0
Agra,2021-10-25,123.0
Agra,2021-10-26,186.0
Agra,2021-10-27,229.0
Agra,2021-10-28,272.0
Agra,2021-10-29,308.0
Agra,2021-10-30,252.0
Agra,2021-10-31,256.0
Agra,2021-11-01,327.0
Agra,2021-11-02,300.0
Agra,2021-11-03,289.0
Agra,2021-11-04,280.0
Agra,2021-11-05,429.0
Agra,2021-11-06,390.0
Agra,2021-11-07,412.0
Agra,2021-11-08,486.0
Agra,2021-11-09,472.0
Agra,2021-11-10,383.0
Agra,2021-11-11,437.0
Agra,2021-11-12,405.0
Agra,2021-11-13,366.0
Agra,2021-11-14,216.0
Agra,2021-11-15,282.0
Agra,2021-11-16,262.0
Agra,2021-11-17,237.0
Agra,2021-11-18,248.0
Agra,2021-11-19,295.0
Agra,2021-11-20,275.0
Agra,2021-11-21,193.0
Agra,2021-11-22,164.0
Agra,2021-11-23,99.0
Agra,2021-11-24,210.0
Agra,2021-11-25,266.0
Agra,2021-11-26,255.0
Agra,2021-11-27,248.0
Agra,2021-11-28,234.0
Agra,2021-11-29,263.0
Agra,2021-11-30,203.0
Agra,2021-12-01,284.0
Agra,2021-12-02,332.0
Agra,2021-12-03,117.0
Agra,2021-12-04,213.0
Agra,2021-12-05,178.0
Agra,2021-12-06,252.0
Agra,2021-12-07,169.0
Agra,2021-12-08,82.0
Agra,2021-12-09,137.0
Agra,2021-12-10,174.0
Agra,2021-12-11,148.0
Agra,2021-12-12,163.0
Agra,2021-12-13,222.0
Agra,2021-12-14,238.0
Agra,2021-12-15,240.0
Agra,2021-12-16,268.0
Agra,2021-12-17,208.0
Agra,2021-12-18,117.0
Agra,2021-12-19,95.0
Agra,2021-12-20,159.0
Agra,2021-12-21,294.0
Agra,2021-12-22,299.0
Agra,2021-12-23,284.0
Agra,2021-12-24,247.0
Agra,2021-12-25,328.0
Agra,2021-12-26,364.0
Agra,2021-12-27,273.0
Agra,2021-12-28,179.0
Agra,2021-12-29,238.0
Agra,2021-12-30,199.0
Agra,2021-12-31,224.0
Agra,2022-01-01,235.0
Agra,2022-01-02,357.0
