City,Date,AQI
Bengaluru,2021-01-01,98.0
Bengaluru,2021-01-02,107.0
Bengaluru,2021-01-03,80.0
Bengaluru,2021-01-04,80.0
Bengaluru,2021-01-05,58.0
Bengaluru,2021-01-06,38.0
Bengaluru,2021-01-07,43.0
Bengaluru,2021-01-08,58.0
Bengaluru,2021-01-09,48.0
Bengaluru,2021-01-10,81.0
Bengaluru,2021-01-11,64.0
Bengaluru,2021-01-12,63.0
Bengaluru,2021-01-13,82.0
Bengaluru,2021-01-14,75.0
Bengaluru,2021-01-15,82.0
Bengaluru,2021-01-16,87.0
Bengaluru,2021-01-17,84.0
Bengaluru,2021-01-18,71.0
Bengaluru,2021-01-19,80.0
Bengaluru,2021-01-20,96.0
Bengaluru,2021-01-21,98.0
Bengaluru,2021-01-22,79.0
Bengaluru,2021-01-23,104.0
Bengaluru,2021-01-24,94.0
Bengaluru,2021-01-25,85.0
Bengaluru,2021-01-26,76.0
Bengaluru,2021-01-27,80.0
Bengaluru,2021-01-28,110.0
Bengaluru,2021-01-29,106.0
Bengaluru,2021-01-30,111.0
Bengaluru,2021-01-31,103.0
Bengaluru,2021-02-01,87.0
Bengaluru,2021-02-02,92.0
Bengaluru,2021-02-03,107.0
Bengaluru,2021-02-04,91.0
Bengaluru,2021-02-05,84.0
Bengaluru,2021-02-06,88.0
Bengaluru,2021-02-07,86.0
Bengaluru,2021-02-08,87.0
Bengaluru,2021-02-09,85.0
Bengaluru,2021-02-10,86.0
Bengaluru,2021-02-11,101.0
Bengaluru,2021-02-12,95.0
Bengaluru,2021-02-13,86.0
Bengaluru,2021-02-14,106.0
Bengaluru,2021-02-15,92.0
Bengaluru,2021-02-16,95.0
Bengaluru,2021-02-17,85.0
Bengaluru,2021-02-18,79.0
Bengaluru,2021-02-19,88.0
Bengaluru,2021-02-20,57.0
Bengaluru,2021-02-21,47.0
Bengaluru,2021-02-22,49.0
Bengaluru,2021-02-23,56.0
Bengaluru,2021-02-24,77.0
Bengaluru,2021-02-25,80.0
Bengaluru,2021-02-26,109.0
Bengaluru,2021-02-27,102.0
Bengaluru,2021-02-28,89.0
Bengaluru,2021-03-01,79.0
Bengaluru,2021-03-02,88.0
Bengaluru,2021-03-03,102.0
Bengaluru,2021-03-04,86.0
Bengaluru,2021-03-05,70.0
Bengaluru,2021-03-06,75.0
Bengaluru,2021-03-07,84.0
Bengaluru,2021-03-08,58.0
Bengaluru,2021-03-09,55.0
Bengaluru,2021-03-10,50.0
Bengaluru,2021-03-11,55.0
Bengaluru,2021-03-12,62.0
Bengaluru,2021-03-13,68.0
Bengaluru,2021-03-14,67.0
Bengaluru,2021-03-15,65.0
Bengaluru,2021-03-16,84.0
Bengaluru,2021-03-17,84.0
Bengaluru,2021-03-18,92.0
Bengaluru,2021-03-19,101.0
Bengaluru,2021-03-20,90.0
Bengaluru,2021-03-21,96.0
Bengaluru,2021-03-22,96.0
Bengaluru,2021-03-23,93.0
Bengaluru,2021-03-24,84.0
Bengaluru,2021-03-25,79.0
Bengaluru,2021-03-26,94.0
Bengaluru,2021-03-27,96.0
Bengaluru,2021-03-28,104.0
Bengaluru,2021-03-29,92.0
Bengaluru,2021-03-30,82.0
Bengaluru,2021-03-31,108.0
Bengaluru,2021-04-01,94.0
Bengaluru,2021-04-02,83.0
Bengaluru,2021-04-03,104.0
Bengaluru,2021-04-04,114.0
Bengaluru,2021-04-05,111.0
Bengaluru,2021-04-06,114.0
Bengaluru,2021-04-07,101.0
Bengaluru,2021-04-08,105.0
Bengaluru,2021-04-09,102.0
Bengaluru,2021-04-10,103.0
Bengaluru,2021-04-11,82.0
Bengaluru,2021-04-12,67.0
Bengaluru,2021-04-13,59.0
Bengaluru,2021-04-14,65.0
Bengaluru,2021-04-15,72.0
Bengaluru,2021-04-16,64.0
Bengaluru,2021-04-17,78.0
Bengaluru,2021-04-18,78.0
Bengaluru,2021-04-19,75.0
Bengaluru,2021-04-20,89.0
Bengaluru,2021-04-21,101.0
Bengaluru,2021-04-22,80.0
Bengaluru,2021-04-23,87.0
Bengaluru,2021-04-24,62.0
Bengaluru,2021-04-25,65.0
Bengaluru,2021-04-26,82.0
Bengaluru,2021-04-27,95.0
Bengaluru,2021-04-28,104.0
Bengaluru,2021-04-29,88.0
Bengaluru,2021-04-30,80.0
Bengaluru,2021-05-01,93.0
Bengaluru,2021-05-02,78.0
Bengaluru,2021-05-03,54.0
Bengaluru,2021-05-04,64.0
Bengaluru,2021-05-05,68.0
Bengaluru,2021-05-06,61.0
Bengaluru,2021-05-07,52.0
Bengaluru,2021-05-08,61.0
Bengaluru,2021-05-09,51.0
Bengaluru,2021-05-10,53.0
Bengaluru,2021-05-11,54.0
Bengaluru,2021-05-12,57.0
Bengaluru,2021-05-13,46.0
Bengaluru,2021-05-14,43.0
Bengaluru,2021-05-15,43.0
Bengaluru,2021-05-16,48.0
Bengaluru,2021-05-17,43.0
Bengaluru,2021-05-18,54.0
Bengaluru,2021-05-19,33.0
Bengaluru,2021-05-20,35.0
Bengaluru,2021-05-21,33.0
Bengaluru,2021-05-22,38.0
Bengaluru,2021-05-23,38.0
Bengaluru,2021-05-24,50.0
Bengaluru,2021-05-25,46.0
Bengaluru,2021-05-26,44.0
Bengaluru,2021-05-27,62.0
Bengaluru,2021-05-28,59.0
Bengaluru,2021-05-29,49.0
Bengaluru,2021-05-30,45.0
Bengaluru,2021-05-31,38.0
Bengaluru,2021-06-01,38.0
Bengaluru,2021-06-02,42.0
