City,Date,AQI
Chennai,2021-01-01,85.0
Chennai,2021-01-02,74.0
Chennai,2021-01-03,63.0
Chennai,2021-01-04,64.0
Chennai,2021-01-05,43.0
Chennai,2021-01-06,38.0
Chennai,2021-01-07,44.0
Chennai,2021-01-08,41.0
Chennai,2021-01-09,86.0
Chennai,2021-01-10,94.0
Chennai,2021-01-11,92.0
Chennai,2021-01-12,74.0
Chennai,2021-01-13,122.0
Chennai,2021-01-14,85.0
Chennai,2021-01-15,96.0
Chennai,2021-01-16,85.0
Chennai,2021-01-17,63.0
Chennai,2021-01-18,58.0
Chennai,2021-01-19,85.0
Chennai,2021-01-20,102.0
Chennai,2021-01-21,104.0
Chennai,2021-01-22,58.0
Chennai,2021-01-23,53.0
Chennai,2021-01-24,75.0
Chennai,2021-01-25,63.0
Chennai,2021-01-26,70.0
Chennai,2021-01-27,91.0
Chennai,2021-01-28,145.0
Chennai,2021-01-29,130.0
Chennai,2021-01-30,116.0
Chennai,2021-01-31,78.0
Chennai,2021-02-01,64.0
Chennai,2021-02-02,88.0
Chennai,2021-02-03,83.0
Chennai,2021-02-04,84.0
Chennai,2021-02-05,104.0
Chennai,2021-02-06,109.0
Chennai,2021-02-07,110.0
Chennai,2021-02-08,74.0
Chennai,2021-02-09,86.0
Chennai,2021-02-10,96.0
Chennai,2021-02-11,95.0
Chennai,2021-02-12,72.0
Chennai,2021-02-13,80.0
Chennai,2021-02-14,65.0
Chennai,2021-02-15,67.0
Chennai,2021-02-16,69.0
Chennai,2021-02-17,86.0
Chennai,2021-02-18,81.0
Chennai,2021-02-19,83.0
Chennai,2021-02-20,88.0
Chennai,2021-02-21,38.0
Chennai,2021-02-22,46.0
Chennai,2021-02-23,72.0
Chennai,2021-02-24,89.0
Chennai,2021-02-25,78.0
Chennai,2021-02-26,67.0
Chennai,2021-02-27,63.0
Chennai,2021-02-28,46.0
Chennai,2021-03-01,42.0
Chennai,2021-03-02,78.0
Chennai,2021-03-03,83.0
Chennai,2021-03-04,72.0
Chennai,2021-03-05,73.0
Chennai,2021-03-06,67.0
Chennai,2021-03-07,64.0
Chennai,2021-03-08,49.0
Chennai,2021-03-09,76.0
Chennai,2021-03-10,50.0
Chennai,2021-03-11,42.0
Chennai,2021-03-12,43.0
Chennai,2021-03-13,54.0
Chennai,2021-03-14,53.0
Chennai,2021-03-15,56.0
Chennai,2021-03-16,53.0
Chennai,2021-03-17,48.0
Chennai,2021-03-18,61.0
Chennai,2021-03-19,82.0
Chennai,2021-03-20,98.0
Chennai,2021-03-21,70.0
Chennai,2021-03-22,66.0
Chennai,2021-03-23,93.0
Chennai,2021-03-24,108.0
Chennai,2021-03-25,120.0
Chennai,2021-03-26,98.0
Chennai,2021-03-27,73.0
Chennai,2021-03-28,58.0
