City,Date,AQI
Gurugram,2021-01-01,376.0
Gurugram,2021-01-02,336.0
Gurugram,2021-01-03,260.0
Gurugram,2021-01-04,65.0
Gurugram,2021-01-05,83.0
Gurugram,2021-01-06,175.0
Gurugram,2021-01-07,204.0
Gurugram,2021-01-08,163.0
Gurugram,2021-01-09,230.0
Gurugram,2021-01-10,215.0
Gurugram,2021-01-11,200.0
Gurugram,2021-01-12,213.0
Gurugram,2021-01-13,276.0
Gurugram,2021-01-14,364.0
Gurugram,2021-01-15,367.0
Gurugram,2021-01-16,316.0
Gurugram,2021-01-17,330.0
Gurugram,2021-01-18,292.0
Gurugram,2021-01-19,366.0
Gurugram,2021-01-20,207.0
Gurugram,2021-01-21,234.0
Gurugram,2021-01-22,315.0
Gurugram,2021-01-23,285.0
Gurugram,2021-01-24,300.0
Gurugram,2021-01-25,280.0
Gurugram,2021-01-26,314.0
Gurugram,2021-01-27,317.0
Gurugram,2021-01-28,338.0
Gurugram,2021-01-29,342.0
Gurugram,2021-01-30,281.0
Gurugram,2021-01-31,303.0
Gurugram,2021-02-01,271.0
Gurugram,2021-02-02,324.0
Gurugram,2021-02-03,306.0
Gurugram,2021-02-04,303.0
Gurugram,2021-02-05,160.0
Gurugram,2021-02-06,170.0
Gurugram,2021-02-07,209.0
Gurugram,2021-02-08,298.0
Gurugram,2021-02-09,313.0
Gurugram,2021-02-10,247.0
Gurugram,2021-02-11,294.0
Gurugram,2021-02-12,347.0
Gurugram,2021-02-13,310.0
Gurugram,2021-02-14,288.0
Gurugram,2021-02-15,306.0
Gurugram,2021-02-16,302.0
Gurugram,2021-02-17,316.0
Gurugram,2021-02-18,296.0
Gurugram,2021-02-19,338.0
Gurugram,2021-02-20,258.0
Gurugram,2021-02-21,297.0
Gurugram,2021-02-22,296.0
Gurugram,2021-02-23,241.0
Gurugram,2021-02-24,265.0
Gurugram,2021-02-25,251.0
Gurugram,2021-02-26,208.0
Gurugram,2021-02-27,165.0
Gurugram,2021-02-28,233.0
Gurugram,2021-03-01,180.0
Gurugram,2021-03-02,172.0
Gurugram,2021-03-03,164.0
Gurugram,2021-03-04,218.0
Gurugram,2021-03-05,273.0
Gurugram,2021-03-06,177.0
Gurugram,2021-03-07,218.0
Gurugram,2021-03-08,204.0
Gurugram,2021-03-09,272.0
Gurugram,2021-03-10,122.0
Gurugram,2021-03-11,268.0
Gurugram,2021-03-12,263.0
Gurugram,2021-03-13,217.0
Gurugram,2021-03-14,195.0
Gurugram,2021-03-15,187.0
Gurugram,2021-03-16,231.0
Gurugram,2021-03-17,309.0
Gurugram,2021-03-18,307.0
Gurugram,2021-03-19,272.0
Gurugram,2021-03-20,223.0
Gurugram,2021-03-21,245.0
Gurugram,2021-03-22,170.0
Gurugram,2021-03-23,226.0
Gurugram,2021-03-24,173.0
Gurugram,2021-03-25,182.0
Gurugram,2021-03-26,146.0
Gurugram,2021-03-27,183.0
Gurugram,2021-03-28,214.0
Gurugram,2021-03-29,215.0
Gurugram,2021-03-30,187.0
Gurugram,2021-03-31,206.0
Gurugram,2021-04-01,138.0
Gurugram,2021-04-02,136.0
Gurugram,2021-04-03,107.0
Gurugram,2021-04-04,144.0
Gurugram,2021-04-05,177.0
Gurugram,2021-04-06,271.0
Gurugram,2021-04-07,258.0
Gurugram,2021-04-08,143.0
Gurugram,2021-04-09,148.0
Gurugram,2021-04-10,172.0
Gurugram,2021-04-11,162.0
Gurugram,2021-04-12,210.0
Gurugram,2021-04-13,199.0
Gurugram,2021-04-14,161.0
Gurugram,2021-04-15,195.0
Gurugram,2021-04-16,250.0
Gurugram,2021-04-17,154.0
Gurugram,2021-04-18,128.0
Gurugram,2021-04-19,213.0
Gurugram,2021-04-20,176.0
Gurugram,2021-04-21,105.0
Gurugram,2021-04-22,106.0
Gurugram,2021-04-23,122.0
Gurugram,2021-04-24,112.0
Gurugram,2021-04-25,170.0
Gurugram,2021-04-26,206.0
Gurugram,2021-04-27,270.0
Gurugram,2021-04-28,230.0
Gurugram,2021-04-29,257.0
Gurugram,2021-04-30,310.0
Gurugram,2021-05-01,220.0
Gurugram,2021-05-02,135.0
Gurugram,2021-05-03,248.0
Gurugram,2021-05-04,149.0
Gurugram,2021-05-05,144.0
Gurugram,2021-05-06,122.0
Gurugram,2021-05-07,118.0
Gurugram,2021-05-08,139.0
Gurugram,2021-05-09,114.0
Gurugram,2021-05-10,109.0
Gurugram,2021-05-11,141.0
Gurugram,2021-05-12,82.0
Gurugram,2021-05-13,107.0
Gurugram,2021-05-14,103.0
Gurugram,2021-05-15,121.0
Gurugram,2021-05-16,154.0
Gurugram,2021-05-17,185.0
Gurugram,2021-05-18,94.0
Gurugram,2021-05-19,78.0
Gurugram,2021-05-20,44.0
Gurugram,2021-05-21,106.0
Gurugram,2021-05-22,66.0
Gurugram,2021-05-23,195.0
Gurugram,2021-05-24,131.0
Gurugram,2021-05-25,114.0
Gurugram,2021-05-26,116.0
Gurugram,2021-05-27,109.0
Gurugram,2021-05-28,94.0
Gurugram,2021-05-29,77.0
Gurugram,2021-05-30,81.0
Gurugram,2021-05-31,70.0
Gurugram,2021-06-01,112.0
Gurugram,2021-06-02,128.0
Gurugram,2021-06-03,97.0
Gurugram,2021-06-04,126.0
Gurugram,2021-06-05,99.0
Gurugram,2021-06-06,112.0
Gurugram,2021-06-07,122.0
Gurugram,2021-06-08,155.0
Gurugram,2021-06-09,182.0
Gurugram,2021-06-10,186.0
Gurugram,2021-06-11,126.0
Gurugram,2021-06-12,142.0
Gurugram,2021-06-13,82.0
Gurugram,2021-06-14,103.0
Gurugram,2021-06-15,84.0
Gurugram,2021-06-16,81.0
Gurugram,2021-06-17,82.0
Gurugram,2021-06-18,68.0
Gurugram,2021-06-19,66.0
Gurugram,2021-06-20,67.0
Gurugram,2021-06-21,74.0
Gurugram,2021-06-22,109.0
Gurugram,2021-06-23,180.0
Gurugram,2021-06-24,118.0
Gurugram,2021-06-25,110.0
Gurugram,2021-06-26,106.0
Gurugram,2021-06-27,165.0
Gurugram,2021-06-28,171.0
Gurugram,2021-06-29,206.0
Gurugram,2021-06-30,179.0
Gurugram,2021-07-01,155.0
Gurugram,2021-07-02,129.0
Gurugram,2021-07-03,98.0
Gurugram,2021-07-04,91.0
Gurugram,2021-07-05,103.0
Gurugram,2021-07-06,113.0
Gurugram,2021-07-07,130.0
Gurugram,2021-07-08,129.0
Gurugram,2021-07-09,90.0
Gurugram,2021-07-10,96.0
Gurugram,2021-07-11,84.0
Gurugram,2021-07-12,87.0
Gurugram,2021-07-13,63.0
Gurugram,2021-07-14,74.0
Gurugram,2021-07-15,68.0
Gurugram,2021-07-16,71.0
Gurugram,2021-07-17,107.0
Gurugram,2021-07-18,72.0
Gurugram,2021-07-19,57.0
Gurugram,2021-07-20,55.0
Gurugram,2021-07-21,63.0
Gurugram,2021-07-22,78.0
Gurugram,2021-07-23,68.0
Gurugram,2021-07-24,100.0
Gurugram,2021-07-25,115.0
Gurugram,2021-07-26,78.0
Gurugram,2021-07-27,110.0
Gurugram,2021-07-28,69.0
Gurugram,2021-07-29,59.0
Gurugram,2021-07-30,66.0
Gurugram,2021-07-31,56.0
Gurugram,2021-08-01,80.0
Gurugram,2021-08-02,118.0
Gurugram,2021-08-03,76.0
Gurugram,2021-08-04,53.0
Gurugram,2021-08-05,82.0
Gurugram,2021-08-06,93.0
Gurugram,2021-08-07,111.0
Gurugram,2021-08-08,94.0
Gurugram,2021-08-09,79.0
Gurugram,2021-08-10,91.0
Gurugram,2021-08-11,110.0
Gurugram,2021-08-12,106.0
Gurugram,2021-08-13,99.0
Gurugram,2021-08-14,91.0
Gurugram,2021-08-15,82.0
Gurugram,2021-08-16,91.0
Gurugram,2021-08-17,118.0
Gurugram,2021-08-18,130.0
Gurugram,2021-08-19,188.0
Gurugram,2021-08-20,167.0
Gurugram,2021-08-21,46.0
Gurugram,2021-08-22,52.0
Gurugram,2021-08-23,76.0
Gurugram,2021-08-24,78.0
Gurugram,2021-08-25,114.0
Gurugram,2021-08-26,107.0
Gurugram,2021-08-27,76.0
Gurugram,2021-08-28,107.0
Gurugram,2021-08-29,122.0
Gurugram,2021-08-30,101.0
Gurugram,2021-08-31,89.0
Gurugram,2021-09-01,34.0
Gurugram,2021-09-02,57.0
Gurugram,2021-09-03,69.0
Gurugram,2021-09-04,63.0
Gurugram,2021-09-05,73.0
Gurugram,2021-09-06,94.0
Gurugram,2021-09-07,103.0
Gurugram,2021-09-08,66.0
Gurugram,2021-09-09,63.0
Gurugram,2021-09-10,78.0
Gurugram,2021-09-11,51.0
Gurugram,2021-09-12,54.0
Gurugram,2021-09-13,88.0
Gurugram,2021-09-14,61.0
Gurugram,2021-09-15,45.0
Gurugram,2021-09-16,66.0
Gurugram,2021-09-17,44.0
Gurugram,2021-09-18,54.0
Gurugram,2021-09-19,78.0
Gurugram,2021-09-20,66.0
Gurugram,2021-09-21,74.0
Gurugram,2021-09-22,74.0
Gurugram,2021-09-23,52.0
Gurugram,2021-09-24,53.0
Gurugram,2021-09-25,72.0
Gurugram,2021-09-26,78.0
Gurugram,2021-09-27,95.0
Gurugram,2021-09-28,153.0
Gurugram,2021-09-29,74.0
Gurugram,2021-09-30,77.0
Gurugram,2021-10-01,102.0
Gurugram,2021-10-02,118.0
Gurugram,2021-10-03,92.0
Gurugram,2021-10-04,86.0
Gurugram,2021-10-05,99.0
Gurugram,2021-10-06,94.0
Gurugram,2021-10-07,139.0
Gurugram,2021-10-08,194.0
Gurugram,2021-10-09,206.0
Gurugram,2021-10-10,170.0
Gurugram,2021-10-11,152.0
Gurugram,2021-10-12,184.0
Gurugram,2021-10-13,187.0
Gurugram,2021-10-14,172.0
Gurugram,2021-10-15,195.0
Gurugram,2021-10-16,308.0
Gurugram,2021-10-17,332.0
Gurugram,2021-10-18,36.0
Gurugram,2021-10-19,81.0
Gurugram,2021-10-20,235.0
Gurugram,2021-10-21,215.0
Gurugram,2021-10-22,164.0
Gurugram,2021-10-23,150.0
Gurugram,2021-10-24,138.0
Gurugram,2021-10-25,90.0
Gurugram,2021-10-26,124.0
Gurugram,2021-10-27,168.0
Gurugram,2021-10-28,182.0
Gurugram,2021-10-29,262.0
Gurugram,2021-10-30,272.0
Gurugram,2021-10-31,262.0
Gurugram,2021-11-01,241.0
Gurugram,2021-11-02,287.0
Gurugram,2021-11-03,330.0
Gurugram,2021-11-04,395.0
Gurugram,2021-11-05,472.0
Gurugram,2021-11-06,456.0
Gurugram,2021-11-07,419.0
Gurugram,2021-11-08,369.0
Gurugram,2021-11-09,368.0
Gurugram,2021-11-10,340.0
Gurugram,2021-11-11,378.0
Gurugram,2021-11-12,448.0
Gurugram,2021-11-13,441.0
Gurugram,2021-11-14,287.0
Gurugram,2021-11-15,332.0
Gurugram,2021-11-16,369.0
Gurugram,2021-11-17,344.0
Gurugram,2021-11-18,323.0
Gurugram,2021-11-19,324.0
Gurugram,2021-11-20,345.0
Gurugram,2021-11-21,364.0
Gurugram,2021-11-22,310.0
Gurugram,2021-11-23,276.0
Gurugram,2021-11-24,305.0
Gurugram,2021-11-25,334.0
Gurugram,2021-11-26,379.0
Gurugram,2021-11-27,362.0
Gurugram,2021-11-28,372.0
Gurugram,2021-11-29,395.0
Gurugram,2021-11-30,332.0
Gurugram,2021-12-01,360.0
Gurugram,2021-12-02,377.0
Gurugram,2021-12-03,296.0
Gurugram,2021-12-04,334.0
Gurugram,2021-12-05,277.0
Gurugram,2021-12-06,306.0
Gurugram,2021-12-07,248.0
Gurugram,2021-12-08,185.0
Gurugram,2021-12-09,257.0
Gurugram,2021-12-10,294.0
Gurugram,2021-12-11,268.0
Gurugram,2021-12-12,207.0
Gurugram,2021-12-13,253.0
Gurugram,2021-12-14,306.0
Gurugram,2021-12-15,341.0
Gurugram,2021-12-16,331.0
Gurugram,2021-12-17,316.0
Gurugram,2021-12-18,287.0
Gurugram,2021-12-19,207.0
Gurugram,2021-12-20,284.0
Gurugram,2021-12-21,314.0
Gurugram,2021-12-22,357.0
Gurugram,2021-12-23,362.0
Gurugram,2021-12-24,334.0
Gurugram,2021-12-25,349.0
Gurugram,2021-12-26,375.0
Gurugram,2021-12-27,250.0
Gurugram,2021-12-28,283.0
Gurugram,2021-12-29,258.0
Gurugram,2021-12-30,257.0
Gurugram,2021-12-31,302.0
Gurugram,2022-01-01,340.0
Gurugram,2022-01-02,385.0
Gurugram,2022-01-03,355.0
Gurugram,2022-01-04,353.0
Gurugram,2022-01-05,326.0
Gurugram,2022-01-06,224.0
Gurugram,2022-01-07,149.0
Gurugram,2022-01-08,106.0
Gurugram,2022-01-09,65.0
Gurugram,2022-01-10,130.0
Gurugram,2022-01-11,175.0
Gurugram,2022-01-12,138.0
Gurugram,2022-01-13,282.0
Gurugram,2022-01-14,383.0
Gurugram,2022-01-15,199.0
Gurugram,2022-01-16,181.0
Gurugram,2022-01-17,219.0
Gurugram,2022-01-18,315.0
Gurugram,2022-01-19,328.0
Gurugram,2022-01-20,324.0
Gurugram,2022-01-21,302.0
Gurugram,2022-01-22,304.0
Gurugram,2022-01-23,205.0
Gurugram,2022-01-24,121.0
Gurugram,2022-01-25,238.0
Gurugram,2022-01-26,236.0
Gurugram,2022-01-27,228.0
Gurugram,2022-01-28,164.0
Gurugram,2022-01-29,232.0
Gurugram,2022-01-30,232.0
Gurugram,2022-01-31,248.0
Gurugram,2022-02-01,252.0
Gurugram,2022-02-02,271.0
Gurugram,2022-02-03,320.0
Gurugram,2022-02-04,174.0
Gurugram,2022-02-05,213.0
Gurugram,2022-02-06,231.0
Gurugram,2022-02-07,254.0
Gurugram,2022-02-08,250.0
Gurugram,2022-02-09,226.0
Gurugram,2022-02-10,140.0
Gurugram,2022-02-11,147.0
Gurugram,2022-02-12,166.0
Gurugram,2022-02-13,218.0
Gurugram,2022-02-14,213.0
Gurugram,2022-02-15,192.0
Gurugram,2022-02-16,242.0
Gurugram,2022-02-17,287.0
Gurugram,2022-02-18,267.0
Gurugram,2022-02-19,167.0
Gurugram,2022-02-20,201.0
Gurugram,2022-02-21,194.0
Gurugram,2022-02-22,222.0
Gurugram,2022-02-23,237.0
Gurugram,2022-02-24,276.0
Gurugram,2022-02-25,272.0
Gurugram,2022-02-26,128.0
Gurugram,2022-02-27,115.0
Gurugram,2022-02-28,117.0
Gurugram,2022-03-01,137.0
Gurugram,2022-03-02,176.0
Gurugram,2022-03-03,163.0
Gurugram,2022-03-04,211.0
Gurugram,2022-03-05,109.0
Gurugram,2022-03-06,124.0
Gurugram,2022-03-07,205.0
Gurugram,2022-03-08,241.0
Gurugram,2022-03-09,162.0
Gurugram,2022-03-10,140.0
Gurugram,2022-03-11,170.0
Gurugram,2022-03-12,122.0
Gurugram,2022-03-13,196.0
Gurugram,2022-03-14,252.0
Gurugram,2022-03-15,281.0
Gurugram,2022-03-16,216.0
Gurugram,2022-03-17,186.0
Gurugram,2022-03-18,259.0
Gurugram,2022-03-19,236.0
Gurugram,2022-03-20,228.0
Gurugram,2022-03-21,223.0
Gurugram,2022-03-22,204.0
Gurugram,2022-03-23,192.0
Gurugram,2022-03-24,227.0
Gurugram,2022-03-25,248.0
Gurugram,2022-03-26,189.0
Gurugram,2022-03-27,228.0
Gurugram,2022-03-28,232.0
Gurugram,2022-03-29,266.0
Gurugram,2022-03-30,243.0
Gurugram,2022-03-31,264.0
Gurugram,2022-04-01,230.0
Gurugram,2022-04-02,212.0
Gurugram,2022-04-03,220.0
Gurugram,2022-04-04,233.0
Gurugram,2022-04-05,176.0
Gurugram,2022-04-06,170.0
Gurugram,2022-04-07,220.0
Gurugram,2022-04-08,226.0
Gurugram,2022-04-09,312.0
Gurugram,2022-04-10,222.0
Gurugram,2022-04-11,208.0
Gurugram,2022-04-12,170.0
Gurugram,2022-04-13,215.0
Gurugram,2022-04-14,238.0
Gurugram,2022-04-15,249.0
Gurugram,2022-04-16,253.0
Gurugram,2022-04-17,276.0
Gurugram,2022-04-18,238.0
Gurugram,2022-04-19,279.0
Gurugram,2022-04-20,260.0
Gurugram,2022-04-21,258.0
Gurugram,2022-04-22,219.0
Gurugram,2022-04-23,219.0
Gurugram,2022-04-24,272.0
Gurugram,2022-04-25,234.0
Gurugram,2022-04-26,270.0
Gurugram,2022-04-27,353.0
Gurugram,2022-04-28,303.0
Gurugram,2022-04-29,300.0
Gurugram,2022-04-30,250.0
Gurugram,2022-05-01,291.0
Gurugram,2022-05-02,212.0
Gurugram,2022-05-03,279.0
Gurugram,2022-05-04,346.0
Gurugram,2022-05-05,137.0
Gurugram,2022-05-06,334.0
Gurugram,2022-05-07,187.0
Gurugram,2022-05-08,253.0
Gurugram,2022-05-09,218.0
Gurugram,2022-05-10,147.0
Gurugram,2022-05-11,112.0
Gurugram,2022-05-12,158.0
Gurugram,2022-05-13,143.0
Gurugram,2022-05-14,235.0
Gurugram,2022-05-15,199.0
Gurugram,2022-05-16,285.0
Gurugram,2022-05-17,247.0
Gurugram,2022-05-18,193.0
Gurugram,2022-05-19,156.0
Gurugram,2022-05-20,258.0
Gurugram,2022-05-21,280.0
Gurugram,2022-05-22,163.0
Gurugram,2022-05-23,134.0
Gurugram,2022-05-24,66.0
Gurugram,2022-05-25,158.0
Gurugram,2022-05-26,180.0
Gurugram,2022-05-27,226.0
Gurugram,2022-05-28,204.0
Gurugram,2022-05-29,254.0
Gurugram,2022-05-30,200.0
Gurugram,2022-05-31,202.0
Gurugram,2022-06-01,306.0
Gurugram,2022-06-02,212.0
Gurugram,2022-06-03,278.0
Gurugram,2022-06-04,240.0
Gurugram,2022-06-05,230.0
Gurugram,2022-06-06,203.0
Gurugram,2022-06-07,308.0
Gurugram,2022-06-08,396.0
Gurugram,2022-06-09,270.0
Gurugram,2022-06-10,310.0
Gurugram,2022-06-11,292.0
Gurugram,2022-06-12,234.0
Gurugram,2022-06-13,224.0
Gurugram,2022-06-14,233.0
Gurugram,2022-06-15,175.0
Gurugram,2022-06-16,162.0
Gurugram,2022-06-17,110.0
Gurugram,2022-06-18,139.0
Gurugram,2022-06-19,86.0
Gurugram,2022-06-20,122.0
Gurugram,2022-06-21,140.0
Gurugram,2022-06-22,128.0
Gurugram,2022-06-23,160.0
Gurugram,2022-06-24,233.0
Gurugram,2022-06-25,230.0
Gurugram,2022-06-26,166.0
Gurugram,2022-06-27,140.0
Gurugram,2022-06-28,148.0
Gurugram,2022-06-29,200.0
Gurugram,2022-06-30,122.0
Gurugram,2022-07-01,147.0
Gurugram,2022-07-02,191.0
Gurugram,2022-07-03,72.0
Gurugram,2022-07-04,164.0
Gurugram,2022-07-05,219.0
Gurugram,2022-07-06,166.0
Gurugram,2022-07-07,140.0
Gurugram,2022-07-08,105.0
Gurugram,2022-07-09,126.0
Gurugram,2022-07-10,105.0
Gurugram,2022-07-11,100.0
Gurugram,2022-07-12,107.0
Gurugram,2022-07-13,
Gurugram,2022-07-14,80.0
Gurugram,2022-07-15,74.0
Gurugram,2022-07-16,76.0
Gurugram,2022-07-17,70.0
Gurugram,2022-07-18,105.0
Gurugram,2022-07-19,114.0
Gurugram,2022-07-20,146.0
Gurugram,2022-07-21,74.0
Gurugram,2022-07-22,208.0
Gurugram,2022-07-23,77.0
Gurugram,2022-07-24,74.0
Gurugram,2022-07-25,56.0
Gurugram,2022-07-26,43.0
Gurugram,2022-07-27,48.0
Gurugram,2022-07-28,77.0
Gurugram,2022-07-29,99.0
Gurugram,2022-07-30,73.0
Gurugram,2022-07-31,88.0
Gurugram,2022-08-01,74.0
Gurugram,2022-08-02,75.0
Gurugram,2022-08-03,103.0
Gurugram,2022-08-04,109.0
Gurugram,2022-08-05,69.0
Gurugram,2022-08-06,130.0
Gurugram,2022-08-07,147.0
Gurugram,2022-08-08,70.0
Gurugram,2022-08-09,115.0
Gurugram,2022-08-10,65.0
Gurugram,2022-08-11,62.0
Gurugram,2022-08-12,61.0
Gurugram,2022-08-13,57.0
Gurugram,2022-08-14,66.0
Gurugram,2022-08-15,78.0
Gurugram,2022-08-16,44.0
Gurugram,2022-08-17,37.0
Gurugram,2022-08-18,61.0
Gurugram,2022-08-19,66.0
Gurugram,2022-08-20,52.0
Gurugram,2022-08-21,147.0
Gurugram,2022-08-22,102.0
Gurugram,2022-08-23,74.0
Gurugram,2022-08-24,56.0
Gurugram,2022-08-25,84.0
Gurugram,2022-08-26,103.0
Gurugram,2022-08-27,106.0
Gurugram,2022-08-28,124.0
Gurugram,2022-08-29,145.0
Gurugram,2022-08-30,114.0
Gurugram,2022-08-31,146.0
Gurugram,2022-09-01,129.0
Gurugram,2022-09-02,116.0
Gurugram,2022-09-03,110.0
Gurugram,2022-09-04,96.0
Gurugram,2022-09-05,105.0
Gurugram,2022-09-06,122.0
Gurugram,2022-09-07,140.0
Gurugram,2022-09-08,168.0
